Country,Region,Happiness Rank,HappinessScore,Lower Confidence Interval,UCI,UnemploymentRate,InflationRate,Economy,Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Afghanistan,Southern Asia,154.00,3.36,3.29,3.43,8.54,4.50,0.38,0.11,0.17,0.16,0.07,0.31,2.15
Albania,Central and Eastern Europe,109.00,4.66,4.55,4.76,16.33,1.20,0.96,0.50,0.73,0.32,0.05,0.17,1.93
Algeria,Middle East and Northern Africa,38.00,6.36,6.23,6.48,11.22,6.70,1.05,0.83,0.62,0.21,0.16,0.07,3.41
Angola,Sub-Saharan Africa,141.00,3.87,3.75,3.98,6.58,26.90,0.85,0.66,0.05,0.01,0.08,0.12,2.09
Argentina,Latin America and Caribbean,26.00,6.65,6.56,6.74,6.56,42.80,1.15,1.07,0.70,0.42,0.07,0.11,3.13
Armenia,Central and Eastern Europe,121.00,4.36,4.27,4.45,16.76,-0.40,0.86,0.62,0.64,0.14,0.04,0.08,1.98
Australia,Australia and New Zealand,9.00,7.31,7.24,7.39,5.74,1.40,1.44,1.10,0.85,0.57,0.32,0.47,2.55
Austria,Western Europe,12.00,7.12,7.05,7.19,6.11,0.90,1.45,1.08,0.81,0.54,0.21,0.33,2.69
Azerbaijan,Central and Eastern Europe,81.00,5.29,5.23,5.36,5.07,11.30,1.12,0.76,0.55,0.35,0.18,0.06,2.27
Bahrain,Middle East and Northern Africa,42.00,6.22,6.13,6.31,1.28,3.50,1.44,0.94,0.66,0.47,0.26,0.17,2.27
Bangladesh,Southern Asia,110.00,4.64,4.56,4.73,4.07,5.60,0.54,0.25,0.53,0.40,0.13,0.19,2.61
Belarus,Central and Eastern Europe,61.00,5.80,5.72,5.88,0.53,14.00,1.13,1.05,0.63,0.29,0.17,0.14,2.39
Belgium,Western Europe,18.00,6.93,6.86,7.00,8.26,1.60,1.43,1.05,0.82,0.51,0.26,0.24,2.61
Belize,Latin America and Caribbean,52.00,5.96,5.71,6.20,11.03,0.90,0.88,0.69,0.46,0.51,0.11,0.24,3.08
Benin,Sub-Saharan Africa,153.00,3.48,3.40,3.56,1.00,1.00,0.39,0.10,0.21,0.40,0.07,0.20,2.11
Bhutan,Southern Asia,84.00,5.20,5.14,5.25,2.38,2.90,0.85,0.91,0.50,0.46,0.16,0.49,1.83
Bolivia,Latin America and Caribbean,59.00,5.82,5.74,5.90,3.71,3.90,0.79,0.84,0.47,0.51,0.08,0.22,2.92
Bosnia and Herzegovina,Central and Eastern Europe,87.00,5.16,5.06,5.26,25.76,-0.80,0.93,0.64,0.71,0.10,0.00,0.30,2.48
Botswana,Sub-Saharan Africa,137.00,3.97,3.88,4.07,18.37,3.40,1.09,0.89,0.35,0.44,0.11,0.12,0.97
Brazil,Latin America and Caribbean,17.00,6.95,6.88,7.03,11.45,8.40,1.09,1.04,0.61,0.40,0.14,0.16,3.51
Bulgaria,Central and Eastern Europe,129.00,4.22,4.10,4.33,8.00,-0.70,1.11,0.93,0.68,0.21,0.01,0.13,1.15
Burkina Faso,Sub-Saharan Africa,145.00,3.74,3.65,3.83,2.98,1.40,0.32,0.63,0.21,0.33,0.13,0.24,1.87
Burundi,Sub-Saharan Africa,157.00,2.91,2.73,3.08,1.60,6.50,0.07,0.23,0.16,0.04,0.09,0.20,2.10
Cambodia,Southeastern Asia,140.00,3.91,3.80,4.02,0.26,2.80,0.56,0.54,0.42,0.59,0.08,0.40,1.32
Cameroon,Sub-Saharan Africa,114.00,4.51,4.42,4.61,4.51,2.40,0.52,0.63,0.13,0.43,0.06,0.23,2.52
Canada,North America,6.00,7.40,7.34,7.47,7.07,1.60,1.44,1.10,0.83,0.57,0.31,0.45,2.70
Chad,Sub-Saharan Africa,144.00,3.76,3.67,3.85,5.78,3.80,0.42,0.63,0.04,0.13,0.05,0.19,2.31
Chile,Latin America and Caribbean,24.00,6.71,6.62,6.80,6.57,4.10,1.22,0.91,0.82,0.38,0.11,0.32,2.96
China,Eastern Asia,83.00,5.25,5.20,5.29,4.61,2.30,1.03,0.79,0.74,0.44,0.03,0.05,2.17
Colombia,Latin America and Caribbean,31.00,6.48,6.38,6.58,9.87,7.80,1.03,1.02,0.60,0.45,0.05,0.16,3.17
Comoros,Sub-Saharan Africa,138.00,3.96,3.86,4.05,19.96,1.20,0.28,0.60,0.30,0.15,0.18,0.18,2.26
Congo (Brazzaville),Sub-Saharan Africa,127.00,4.24,4.11,4.37,3.64,1.60,0.77,0.48,0.28,0.38,0.10,0.12,2.11
Congo (Kinshasa),Sub-Saharan Africa,125.00,4.27,4.19,4.35,11.19,2.30,0.06,0.81,0.19,0.16,0.06,0.25,2.75
Costa Rica,Latin America and Caribbean,14.00,7.09,7.00,7.18,9.00,0.30,1.07,1.02,0.76,0.55,0.11,0.23,3.35
Croatia,Central and Eastern Europe,74.00,5.49,5.40,5.57,13.48,-1.00,1.19,0.61,0.71,0.24,0.04,0.18,2.52
Cyprus,Western Europe,69.00,5.55,5.44,5.65,11.73,-0.30,1.32,0.71,0.85,0.30,0.05,0.28,2.04
Czech Republic,Central and Eastern Europe,27.00,6.60,6.52,6.68,4.05,0.50,1.31,1.01,0.76,0.41,0.04,0.10,2.96
Denmark,Western Europe,1.00,7.53,7.46,7.59,6.05,0.40,1.44,1.16,0.80,0.58,0.44,0.36,2.74
Dominican Republic,Latin America and Caribbean,89.00,5.16,5.04,5.27,14.36,1.90,1.03,0.99,0.58,0.52,0.12,0.21,1.70
Ecuador,Latin America and Caribbean,51.00,5.98,5.88,6.07,5.36,2.10,0.97,0.86,0.69,0.40,0.18,0.10,2.77
Egypt,Middle East and Northern Africa,120.00,4.36,4.26,4.47,12.01,12.10,0.95,0.50,0.52,0.19,0.10,0.13,1.97
El Salvador,Latin America and Caribbean,46.00,6.07,5.97,6.17,6.29,1.10,0.87,0.81,0.60,0.37,0.11,0.09,3.22
Estonia,Central and Eastern Europe,72.00,5.52,5.44,5.60,6.91,0.30,1.28,1.05,0.68,0.42,0.19,0.08,1.82
Ethiopia,Sub-Saharan Africa,115.00,4.51,4.43,4.59,5.74,9.10,0.29,0.38,0.35,0.37,0.17,0.30,2.66
Finland,Western Europe,5.00,7.41,7.35,7.48,9.00,0.40,1.41,1.13,0.81,0.57,0.41,0.25,2.83
France,Western Europe,32.00,6.48,6.40,6.56,9.97,0.30,1.39,1.01,0.84,0.47,0.18,0.12,2.47
Gabon,Sub-Saharan Africa,134.00,4.12,4.03,4.21,18.50,1.10,1.16,0.72,0.35,0.28,0.09,0.06,1.45
Georgia,Central and Eastern Europe,126.00,4.25,4.16,4.34,11.58,2.00,0.84,0.19,0.64,0.32,0.32,0.07,1.87
Germany,Western Europe,16.00,6.99,6.93,7.06,4.31,0.40,1.45,1.10,0.81,0.53,0.29,0.30,2.51
Ghana,Sub-Saharan Africa,124.00,4.28,4.19,4.37,5.77,17.80,0.63,0.49,0.30,0.41,0.03,0.21,2.20
Greece,Western Europe,99.00,5.03,4.94,5.13,23.91,-0.20,1.25,0.75,0.80,0.06,0.04,0.00,2.13
Guatemala,Latin America and Caribbean,39.00,6.32,6.21,6.44,2.38,4.30,0.83,0.87,0.54,0.50,0.09,0.29,3.20
Guinea,Sub-Saharan Africa,151.00,3.61,3.53,3.68,6.85,7.90,0.22,0.31,0.19,0.31,0.12,0.30,2.16
Haiti,Latin America and Caribbean,136.00,4.03,3.89,4.16,13.19,12.40,0.34,0.30,0.27,0.12,0.14,0.48,2.37
Honduras,Latin America and Caribbean,104.00,4.87,4.75,4.99,6.28,2.90,0.69,0.76,0.58,0.27,0.07,0.20,2.30
Hong Kong,Eastern Asia,75.00,5.46,5.36,5.55,3.42,2.60,1.51,0.87,0.95,0.48,0.32,0.40,0.93
Hungary,Central and Eastern Europe,91.00,5.15,5.06,5.23,5.17,0.10,1.24,0.93,0.68,0.20,0.04,0.10,1.95
